Selection Method,Crossover,Mutation,Score 1 - Ftest,Score 1- FTraining,Score 2 - Ftest,Score 2- FTraining,Score 3 - Ftest,Score 3 - FTraining,Score 4 - Ftest,Score 4- FTraining,Score 5 - Ftest,Score 5 - Training,Score 6 - Ftest,Score 6 - FTraining,Score 7 - Ftest,Score 7 - FTraining,Score 8 - FTraining,Score 8 - Ftest,Score 9 - Ftest,Score 9 - FTraining,Score 10 - Ftest,Score 10 - FTraining,Average Ftest,Average Ftraining
Tournament,1-point,Creep,0.012199089,0.007611673,0.00445482,0.003973152,0.296165998,0.112244572,0.048634369,0.017397626,0.11938515,0.047887553,0.205365457,0.063810498,0.1021462,0.020525514,0.030004518,0.063625192,0.223551417,0.086111134,0.022893208,1.22085E+13,0.10984209,1.22085E+12
,2-point,,0.030288955,0.008790164,0.240895674,0.116071426,0.12756072,0.073877102,0.10295002,0.064759998,0.108667418,0.010267451,0.145746792,0.063560149,0.120831153,0.006376305,0.108165131,0.25565662,0.024322639,0.010508323,0.01312994,0.009494333,0.117004993,0.047187038
,uniform,,0.034543719,0.012009245,0.201942953,0.101510719,0.006006232,0.003691746,0.039984634,0.007826515,0.015209828,0.01215054,0.131276273,0.016709729,0.155607692,0.072052833,0.106421033,0.209257191,0.204046766,0.081601302,0.020509266,0.006926357,0.101838455,0.042090002
,1-point,Shuffle,0.290085985,0.122877415,0.134515037,0.127535417,0.076669028,0.04792296,0.094772613,0.094351842,0.138690039,0.07468687,0.223969526,0.11705625,0.25291888,0.118383953,0.137645116,0.297562845,0.147870023,0.088000625,0.144169712,0.094913645,0.180122369,0.102337409
,2-point,,0.220503076,0.115268615,0.19275717,0.121292611,0.147353237,0.124457021,0.194729372,0.119469485,0.14000917,0.0923467,0.124646692,0.100000707,0.140741532,0.075062116,0.09038177,0.097563216,0.169692713,0.110959195,0.28187307,0.130732787,0.170986925,0.107997101
,uniform,,0.097068826,0.090783692,0.173998353,0.099285168,0.165012784,0.102954859,0.192042786,0.121634185,0.215182616,0.108042351,0.086124231,0.082882532,0.094427357,0.096746568,0.126101023,0.223261592,0.259924534,0.125617985,0.146514483,0.116461139,0.165355756,0.10705095
,1-point,Scramble,0.22622433,0.116362123,0.2433115,0.108738556,0.128378944,0.085117755,0.220229905,0.115926674,0.052170937,0.02194049,0.089635053,0.057485841,0.200312821,0.074902654,0.108022469,0.301182749,0.048876097,0.037314057,0.217687283,0.100924628,0.172800962,0.082673525
,2-point,,0.149227989,0.090664974,0.076669028,0.04792296,0.200707691,0.077197293,0.165852924,0.07907323,0.220891995,0.114729943,0.229593623,0.104062122,0.210826136,0.096300208,0.131875221,0.313931165,0.150503288,0.079809603,0.240685879,0.108970299,0.195888972,0.093060585
,uniform,,0.127367439,0.082551229,0.026518346,0.027544575,0.083249395,0.051370249,0.272454786,0.113582258,0.037263318,0.032481514,0.047301429,0.042781818,0.076379851,0.076379851,0.108435022,0.103292879,0.02427566,0.070455973,0.230841148,0.105568953,0.102894425,0.071115144
